taxon_id,genus,species,sub_species,common_name
559292,Saccharomyces,cerevisiae,S288c,S288c
285006,Saccharomyces,cerevisiae,RM11_1a,RM11_1a
307796,Saccharomyces,cerevisiae,YJM789,YJM789
658763,Saccharomyces,cerevisiae,Sigma1278b,Sigma1278b
226125,Saccharomyces,paradoxus,Spar,Spar
9606,Homo,sapiens,Human,Human
9598,Pan,troglodytes,Chimp,Chimp
9595,Gorilla,gorilla,Gorilla,Gorilla
9601,Pongo,abelii,Orangutan,Orangutan
9544,Macaca,mulatta,Rhesus,Rhesus
10090,Mus,musculus,,Mouse
10116,Rattus,norvegicus,,Rat
7227,Drosophila,melanogaster,Dmel,Dmel
7240,Drosophila,simulans,Dsim,Dsim
7238,Drosophila,sechellia,Dsech,Dsech
3702,Arabidopsis,thaliana,Atha,Atha
59689,Arabidopsis,lyrata,Alyr,Alyr
39946,Oryza,sativa,9311,9311
39947,Oryza,sativa,Nip,Nip
4932,Saccharomyces,cerevisiae,,Baker_s_yeast
574961,Saccharomyces,cerevisiae,JAY291,JAY291
643680,Saccharomyces,cerevisiae,EC1118,EC1118
721032,Saccharomyces,cerevisiae,Kyokai_no_7,Kyokai_no_7
929585,Saccharomyces,cerevisiae,T7,T7
