This is a tab delimited file. If you are seeing this in your web browser, you 
probably want to use the "Save target as..." right-click option, or the 
"Download link to disk..." option on macintosh browsers. (Mac users, hold down 
the mouse button over the link until the pop-up menu appears.)
This text file contains the red:green ratios 
from hybridizations done with arrays containing all the elements 
of the yeast genome.  The "i" preceding the element indicates 
that the spot of DNA corresponds to an intergenic segment of DNA 
to the right of the indicated element.  Blanks indicate that the 
spot on the array corresponding to that element did not contain 
usable data.


NAME	FX6	FX4
15S_rRNA1	1.44	1.44
15S_rRNA2	2.11	1.37
21S_rRNA0	2.38	1.82
21S_rRNA1	1.63	1.4
21S_rRNA2	1.82	1.49
9S_rRNA	1.38	1.3
CEN1	0.75	1.02
CEN10	0.65	0.7
CEN11	0.73	0.84
CEN12	1.05	0.79
CEN13	0.94	1.14
CEN14	0.6	0.73
CEN15	0.65	0.86
CEN16	0.79	0.82
CEN2	1.09	1.18
CEN3	0.53	0.62
CEN4	0.49	0.65
CEN5	0.92	0.89
CEN6	0.43	0.62
CEN7	0.91	1.22
CEN8	1.02	0.88
CEN9	0.67	0.51
iCEN1	0.84	0.71
iCEN10	0.81	0.83
iCEN11	0.77	0.73
iCEN12	0.72	0.7
iCEN13	1	1.22
iCEN14	1.49	1.38
iCEN15	0.75	0.75
iCEN16	0.99	0.9
iCEN2	1.22	0.96
iCEN3	1.13	1.09
iCEN4	0.98	1.07
iCEN5	0.98	0.87
iCEN6	0.64	0.69
iCEN7	0.57	0.76
iCEN8	1	0.95
iCEN9	0.96	0.86
iLSR1	1.43	1.57
IntQ0185A	1.15	1.63
IntQ0185B	1.48	1.42
IntQ0185C	1.48	1.5
IntQ0185D	1.1	1.45
IntQ0185E	0.93	1.08
IntQ0185G	2.02	1.56
IntQ0280A	1.28	1.54
IntQ0280D	1.43	1.45
IntQ0280E	0.82	1.11
IntYBL087C	1.2	1.18
IntYBR048W	1.37	0.75
IntYBR084C-A	1.63	1.07
IntYCR097W-A1	0.78	0.95
IntYCR097W-A2	0.48	0.65
IntYDL191W	0.46	0.64
IntYDR064W	0.91	0.98
IntYDR381W	1.16	1.15
IntYER133W	0.74	0.63
IntYGL033W	1.18	1.11
IntYGL103W	1.18	1.06
IntYGL178W	1	0.94
IntYHL050C	1.69	1.75
IntYHR010W	1.02	0.75
IntYHR021C	1.72	1.23
IntYJR079W	1.76	1.59
IntYNL112W	1.12	1.16
IntYNL302C	1.1	1
IntYNR053C	0.58	0.69
IntYPL081W	1.44	1.38
IntYPL143W	0.83	1.06
iRDN37-1	1.33	1.35
iRDN5-1	1.68	2.11
iRDN5-2	0.77	0.97
iRDN5-3	1.29	1.21
irpr1	1.4	1.17
iSCR1	1.19	1.37
isnR128	0.87	0.85
iSNR13	0.89	1.04
isnR14		
iSNR189	0.74	0.73
iSNR190	1.46	1.06
iSNR33	1.07	1.41
iSNR34	0.63	0.71
isnR37	1.02	1.1
iSNR4	0.8	0.68
iSNR42	1.11	1.13
iSNR44	0.93	0.85
iSNR45	1.33	1.37
iSNR46	0.78	1
iSNR47	1.15	1.16
iSNR48	2.65	2.07
iSNR50	0.97	0.95
iSNR51	0.74	0.91
iSNR52	0.94	1.02
iSNR53	0.71	0.83
iSNR54	1.02	1.19
iSNR55	0.83	0.86
iSNR56	0.84	0.98
iSNR57	0.74	0.76
iSNR58	0.86	0.74
iSNR59	1.07	0.86
iSNR6	1.24	1.2
iSNR60	0.87	0.89
iSNR61	0.75	0.76
iSNR62	1.22	0.92
iSNR63	1.03	0.95
iSNR64	0.8	0.76
iSNR65	0.67	0.7
iSNR66	0.91	1
iSNR67	0.7	0.74
iSNR68	0.79	0.78
iSNR69	0.88	0.93
iSNR70	0.86	1.18
iSNR71	0.73	0.83
iSNR7-S	1.01	1.06
iSNR8	0.99	1.12
itA(AGC)D	1.12	1.12
itA(AGC)F	2.2	1.39
itA(AGC)G	0.78	0.79
itA(AGC)K1	1.3	1.36
itA(AGC)M1	0.92	0.79
itA(AGC)M2	0.65	0.83
itA(AGC)P	0.68	0.96
itA(UGC)A	0.92	0.79
itA(UGC)E	0.71	0.68
itA(UGC)G	0.88	0.97
itA(UGC)L	0.94	0.9
itC(GCA)B	1.26	1.43
itC(GCA)P1	0.93	1.19
itC(GCA)P2	1.14	1.22
itD(GUC)B	0.99	0.85
itD(GUC)D	0.72	0.76
itD(GUC)G1	0.79	0.85
itD(GUC)G2	0.93	0.66
itD(GUC)I2	1.03	1.04
itD(GUC)J1	1.14	0.83
itD(GUC)J2	1.07	1.05
itD(GUC)J4	0.72	0.83
itD(GUC)K	0.99	0.95
itD(GUC)L1	0.55	0.59
itD(GUC)L2	1.06	0.93
itD(GUC)M	1	0.89
itE(CUC)D-0	1.32	1.11
itE(CUC)D-1	0.97	1.12
itE(CUC)I	1.06	1.06
itE(UUC)B	1.3	1.06
itE(UUC)C	0.68	0.82
itE(UUC)E1	1.15	1.02
itE(UUC)E2	1.24	1.07
itE(UUC)E3	0.89	0.96
itE(UUC)G1	1.21	1.21
itE(UUC)G3	1.03	0.9
itE(UUC)I	0.53	0.4
itE(UUC)J	0.93	0.76
itE(UUC)K	1.29	1.05
itE(UUC)L	0.72	0.74
itE(UUC)M	0.91	0.81
itE(UUC)P	0.9	0.8
itF(GAA)B	0.79	0.89
itF(GAA)D	0.72	0.94
itF(GAA)F	0.93	0.89
itF(GAA)G	0.86	0.81
itF(GAA)H1	0.93	0.62
itF(GAA)H2	0.9	0.94
itF(GAA)M	1.16	1.29
itF(GAA)N	0.94	0.8
itF(GAA)P1	0.57	0.44
itF(GAA)P2	1.24	1.01
itG(CCC)D	0.78	0.69
itG(CCC)O	0.69	0.59
itG(GCC)C	1.19	0.84
itG(GCC)D1	0.63	0.55
itG(GCC)D2	0.7	0.74
itG(GCC)E	0.66	0.72
itG(GCC)F1	1.08	1.11
itG(GCC)F2	1.37	1.26
itG(GCC)G1	1.08	1.12
itG(GCC)G2	0.84	1.1
itG(GCC)J1	1.22	0.89
itG(GCC)J2	0.73	0.73
itG(GCC)M	1.01	1.16
itG(GCC)O2	0.71	0.79
itG(GCC)P1	0.85	0.9
itG(GCC)P2	1.99	1.53
itG(UCC)G	0.86	0.84
itG(UCC)N	0.85	1.01
itG(UCC)O	1.09	1.06
itH(GUG)E1	0.67	1
itH(GUG)G1	0.57	0.83
itH(GUG)G2	1.21	1.17
itH(GUG)H	0.68	0.65
itH(GUG)K	0.89	0.94
itH(GUG)M	0.74	0.68
itI(AAU)B	1.21	1.24
itI(AAU)E1	0.91	1.18
itI(AAU)E2	1.19	1.18
itI(AAU)G	1.03	1.2
itI(AAU)I1	1.26	1.05
itI(AAU)I2	0.72	0.91
itI(AAU)L1	0.8	0.84
itI(AAU)L2	0.96	1.13
itI(AAU)N1	0.83	0.98
itI(AAU)N2	0.88	0.75
itI(AAU)P1	0.64	0.75
itI(UAU)D	0.78	0.75
itI(UAU)L	1.25	1.05
itK(CUU)C	1.13	1.09
itK(CUU)D1	0.74	0.67
itK(CUU)D2	0.72	
itK(CUU)E1	0.83	0.91
itK(CUU)E2	0.92	0.8
itK(CUU)F	1.02	1.51
itK(CUU)G1	1.3	1.52
itK(CUU)G2	0.89	0.99
itK(CUU)G3	0.91	0.91
itK(CUU)I	1.05	0.92
itK(CUU)J	1.31	1.12
itK(CUU)K	1.01	1.18
itK(CUU)M	0.91	0.83
itK(CUU)P	0.86	0.94
itK(UUU)D		0.72
itK(UUU)G1	0.74	0.9
itK(UUU)K	0.69	0.75
itK(UUU)L	0.99	0.95
itK(UUU)O	0.48	0.81
itL(CAA)A	1.07	1.03
itL(CAA)C	1.22	1.22
itL(CAA)D	0.92	0.72
itL(CAA)G1	0.74	0.71
itL(CAA)G2	1.03	1.1
itL(CAA)G3	1.11	0.94
itL(CAA)K	1.13	1.11
itL(CAA)L	0.91	0.96
itL(CAA)M	1.05	0.95
itL(CAA)N	1.01	0.92
itL(GAG)G	0.76	0.88
itL(UAA)B1	1.39	0.99
itL(UAA)B2	0.89	0.91
itL(UAA)D	0.87	0.92
itL(UAA)J	0.94	0.82
itL(UAA)K	1.05	1
itL(UAA)L	0.83	0.79
itL(UAG)J	0.51	0.66
itL(UAG)L1	0.85	0.83
iTLC1		0.78
itM(CAU)C	0.79	1.19
itM(CAU)D	1.01	0.88
itM(CAU)E	1.06	0.99
itM(CAU)J1	1.34	1.41
itM(CAU)J2	0.9	1.17
itM(CAU)J3	0.87	1.07
itM(CAU)M	0.6	0.84
itM(CAU)O1	0.75	0.93
itM(CAU)O2	0.98	0.92
itM(CAU)P	2.98	2.3
itN(GUU)C	0.52	0.77
itN(GUU)F	0.75	0.76
itN(GUU)G	0.79	0.89
itN(GUU)K	0.95	0.76
itN(GUU)L	0.87	0.86
itN(GUU)N1	0.86	0.89
itN(GUU)N2	0.68	0.68
itN(GUU)O1	1.2	0.98
itN(GUU)O2	0.77	1.15
itN(GUU)P	0.68	0.8
itP(AGG)C	1.36	1.39
itP(AGG)N	0.75	0.63
itP(UGG)A	0.93	1.07
itP(UGG)F	0.77	0.69
itP(UGG)L-0	1.69	1.48
itP(UGG)L-1	1.38	1.13
itP(UGG)M	0.88	1.1
itP(UGG)N1	1.73	1.75
itP(UGG)N2	0.76	0.8
itP(UGG)O1	1.06	1.1
itP(UGG)O2	1	1.03
itP(UGG)O3	0.96	1.12
itQ(CUG)M	1.02	1.1
itQ(UUG)B	1.06	1.18
itQ(UUG)C	0.9	0.83
itQ(UUG)D1	0.99	0.96
itQ(UUG)D2	1.2	1.21
itQ(UUG)D3	0.58	0.87
itQ(UUG)E1	1.27	0.94
itQ(UUG)E2	1.48	0.9
itQ(UUG)H	0.94	1.06
itQ(UUG)L	0.56	0.97
itR(ACG)D-0	1.7	1.58
itR(ACG)D-1	1.6	1.74
itR(ACG)J	0.84	0.76
itR(ACG)K	0.8	0.77
itR(ACG)L	1.03	0.96
itR(ACG)O	0.79	0.67
itR(CCG)L	0.79	0.66
itR(CCU)J	0.75	0.67
itR(UCU)E	0.81	0.83
itR(UCU)G1	1.2	1.27
itR(UCU)G2	0.94	0.84
itR(UCU)G3	0.88	1.14
itR(UCU)J2	0.62	0.61
itR(UCU)K	0.82	0.81
itR(UCU)M1	0.81	0.74
itR(UCU)M2	0.89	0.88
itS(AGA)B	0.98	0.89
itS(AGA)D1	0.76	0.88
itS(AGA)D2	0.95	0.91
itS(AGA)D3	1.04	1.17
itS(AGA)E	0.96	1.07
itS(AGA)G	1.47	1.28
itS(AGA)H	0.51	0.62
itS(AGA)J	0.77	0.93
itS(AGA)M	1.25	1.08
itS(GCU)F	0.75	0.85
itS(GCU)L	0.98	1.03
itS(GCU)O	1.09	1.01
itS(UGA)E-0	0.88	0.72
itS(UGA)E-1	1.13	0.96
itS(UGA)I	2.09	1.62
itS(UGA)P	1.25	1.13
itT(AGU)B	1.3	1.12
itT(AGU)C	0.83	0.86
itT(AGU)D	0.75	0.83
itT(AGU)H	1.03	1.08
itT(AGU)I1	0.79	0.94
itT(AGU)I2	0.68	0.99
itT(AGU)J	0.85	0.86
itT(AGU)N1	0.83	0.99
itT(AGU)N2	0.87	0.86
itT(AGU)O1	1.09	0.96
itT(CGU)K	0.87	0.77
itT(UGU)G1	1.45	1.4
itT(UGU)G2	0.95	1.13
itT(UGU)H	1.11	1.21
itT(UGU)P	0.91	0.88
itV(AAC)E1	1.15	1.05
itV(AAC)E2	0.89	0.99
itV(AAC)G1	1.05	1.26
itV(AAC)G2	1.27	0.98
itV(AAC)G3-0	1.17	0.85
itV(AAC)G3-1	0.81	0.87
itV(AAC)J	0.79	0.8
itV(AAC)K1-0	1.32	1.23
itV(AAC)K1-1	1.25	1.08
itV(AAC)K2	0.8	0.88
itV(AAC)L	0.71	0.67
itV(AAC)M1	0.92	0.84
itV(AAC)M2	0.59	0.63
itV(AAC)M3	1.07	0.84
itV(AAC)O	0.92	0.94
itV(CAC)D	1.17	0.79
itV(CAC)H	0.91	1.17
itV(UAC)B	1.05	0.89
itV(UAC)D	0.99	0.94
itW(CCA)G1	0.98	1.07
itW(CCA)G2	1.42	0.96
itW(CCA)J	0.99	1.09
itW(CCA)K-0	0.97	0.88
itW(CCA)K-1	1.26	0.9
itW(CCA)M	0.76	0.76
itY(GUA)D	0.92	0.99
itY(GUA)F1	1	0.9
itY(GUA)F2	0.67	0.7
itY(GUA)J1	1.01	1.2
itY(GUA)J2	0.92	1.02
itY(GUA)M1	1.36	1.45
itY(GUA)M2	0.93	1.16
itY(GUA)O	1.3	1.23
iYAL001C	0.78	0.79
iYAL002W	0.69	0.68
iYAL003W	0.85	0.79
iYAL004W	0.97	0.65
iYAL007C	1	1.11
iYAL008W	0.9	0.95
iYAL009W	1.04	1.17
iYAL010C	0.82	0.81
iYAL011W	1.04	1.21
iYAL012W	1.43	1.29
iYAL013W	1.34	1.48
iYAL014C	1.93	1.44
iYAL015C	0.95	1.12
iYAL016W	0.83	0.89
iYAL017W	0.74	0.93
iYAL018C	1.11	0.89
iYAL019W	0.84	0.95
iYAL020C	1.34	1.22
iYAL021C	0.97	1.22
iYAL022C	0.97	1.05
iYAL023C	0.8	0.94
iYAL024C	0.73	0.71
iYAL025C	0.59	0.71
iYAL026C	0.66	0.69
iYAL027W	0.51	0.75
iYAL028W	0.7	0.71
iYAL029C	0.85	0.7
iYAL030W	0.81	0.76
iYAL031C	0.69	0.68
iYAL032C	0.68	0.68
iYAL033W	0.68	0.89
iYAL034C		0.76
iYAL034W-A	0.63	0.78
iYAL036C	1.31	1.38
iYAL037W	0.93	1.1
iYAL038W	2.07	1.28
iYAL039C-0		1.45
iYAL039C-1	1.41	1.63
iYAL040C	1.55	1.57
iYAL041W	0.8	0.72
iYAL042W	0.7	1
iYAL043C	1.1	0.79
iYAL044C	0.95	1
iYAL045C	1.21	1.13
iYAL046C	1.03	0.93
iYAL047C	1.03	0.9
iYAL048C	0.71	0.72
iYAL049C	0.95	0.82
iYAL051W	0.71	0.81
iYAL053W	0.87	0.73
iYAL054C	0.74	0.9
iYAL055W	0.71	0.88
iYAL056W	1.04	1.02
iYAL058C-A	1.15	1
iYAL059W	1.01	1.08
iYAL060W	1.31	1.18
iYAL061W		1.06
iYAL062W	3.27	2.78
