Orf,gene,HOM_AV
YLR069C,MEF1,0.679
YDR347W,mrp1,0.699
YNL081C,YNL081C,0.723
YHR168W,YHR168W,0.723
YER050C,RSM18,0.727
YDR194C,MSS116,0.73
YLR061W,RPL22A,0.732
YLR260W,LCB5,0.735
YMR188C,YMR188C,0.735
YLR091W,YLR091W,0.736
YMR193W,MRPL24,0.744
YIR026C,yvh1,0.746
YMR228W,mtf1,0.75
YGL246C,RAI1,0.752
YHR011W,DIA4,0.753
YKL170W,MRPL38,0.754
YMR293C,YMR293C,0.755
YHL011C,PRS3,0.757
YPL040C,ISM1,0.757
YDR507C,GIN4,0.759
YMR282C,AEP2,0.759
YLL033W,YLL033W,0.76
YDR529C,QCR7,0.761
YBR251W,MRPS5,0.762
YHR147C,MRPL6,0.764
YMR287C,MSU1,0.765
YDR065W,YDR065W,0.766
YLR068W,YLR068W,0.766
YML061C,pif1,0.768
YPR100W,YPR100W,0.768
YGL076C,RPL7A,0.769
YDR175C,RSM24,0.771
YMR267W,ppa2,0.774
YER056C-A,RPL34A,0.775
YGL129C,RSM23,0.776
YHR021C,RPS27B,0.777
YGR215W,RSM27,0.778
YLR322W,YLR322W,0.779
YPL005W,YPL005W,0.779
YOR211C,mgm1,0.781
YDR140W,YDR140W,0.783
YDR405W,MRP20,0.783
YMR269W,YMR269W,0.784
YER061C,CEM1,0.785
YOL023W,IFM1,0.785
YLR370C,ARC18,0.787
YER017C,AFG3,0.787
YLR067C,PET309,0.787
YMR097C,YMR097C,0.788
YLR149C,YLR149C,0.789
YOR295W,YOR295W,0.789
YMR060C,TOM37,0.79
YLR439W,MRPL4,0.791
YOR035C,SHE4,0.791
YNL059C,ARP5,0.792
YBR267W,YBR267W,0.792
YCR046C,IMG1,0.792
YHR120W,msh1,0.793
YMR125W,sto1,0.793
YGL218W,YGL218W,0.793
YCL058C,YCL058C,0.793
YHR010W,RPL27A,0.794
YGR101W,YGR101W,0.794
YMR116C,ASC1,0.794
YPL118W,MRP51,0.795
YKL006W,RPL14A,0.796
YBR268W,MRPL37,0.796
YPL271W,ATP15,0.796
YGR162W,TIF4631,0.796
YDR268W,MSW1,0.796
YER077C,YER077C,0.798
YDR241W,BUD26,0.798
YPL097W,MSY1,0.798
YCR071C,IMG2,0.798
YKL134C,37165,0.799
YNL227C,YNL227C,0.799
YER122C,GLO3,0.8
YLR270W,YLR270W,0.802
YLR185W,RPL37A,0.802
YPR132W,RPS23B,0.802
YNL284C,MRPL10,0.803
YKL003C,mrp17,0.803
YHR041C,srb2,0.803
YMR142C,RPL13B,0.804
YER028C,YER028C,0.804
YJL188C,BUD19,0.805
YPL173W,MRPL40,0.805
YNL246W,YNL246W,0.806
YLR139C,SLS1,0.806
YEL029C,BUD16,0.807
YDR332W,YDR332W,0.807
YNL248C,RPA49,0.808
YEL050C,RML2,0.808
YJL102W,MEF2,0.808
YCR063W,YCR063W,0.809
YDL061C,RPS29B,0.809
YPL193W,RSA1,0.81
YHR081W,YHR081W,0.81
YER014W,HEM14,0.81
YNL177C,YNL177C,0.811
YMR089C,YTA12,0.811
YOL051W,gal11,0.811
YJL189W,RPL39,0.812
YPR101W,SNT309,0.812
YBR181C,RPS6B,0.813
YLR403W,SFP1,0.814
YLR295C,ATP14,0.814
YLR435W,YLR435W,0.815
YHR038W,FIL1,0.815
YNL073W,MSK1,0.815
YCR009C,RVS161,0.815
YDL160C,DHH1,0.815
YOL033W,MSE1,0.816
YLR192C,HCR1,0.816
YLR382C,nam2,0.816
YPL239W,YAR1,0.816
YDL081C,RPP1A,0.817
YPR116W,YPR116W,0.817
YNR036C,YNR036C,0.818
YLL006W,MMM1,0.818
YEL044W,YEL044W,0.819
YNL250W,rad50,0.819
YGL223C,YGL223C,0.819
YNR052C,POP2,0.819
YGR104C,SRB5,0.819
YAR002W,NUP60,0.819
YKL057C,NUP120,0.819
YLR312W-A,MRPL15,0.82
YDR161W,TCI1,0.82
YPL125W,KAP120,0.82
YDR298C,ATP5,0.82
YOR205C,YOR205C,0.821
YGL240W,DOC1,0.821
YPL106C,SSE1,0.821
YBL007C,SLA1,0.822
YDL191W,RPL35A,0.822
YKL009W,MRT4,0.823
YER044C,BUD18,0.825
YKL138C,MRPL31,0.825
YOL009C,MDM12,0.826
YOR001W,RRP6,0.827
YDR115W,YDR115W,0.827
YOR182C,RPS30B,0.827
YML063W,RPS1B,0.827
YPR131C,NAT3,0.828
YBR106W,PHO88,0.828
YGR285C,ZUO1,0.829
YBR191W,RPL21A,0.829
YNL280C,ERG24,0.829
YKR085C,MRPL20,0.829
YBR200W,BEM1,0.83
YIR005W,IST3,0.831
YOR183W,YOR183W,0.831
YDL044C,mtf2,0.831
YBR168W,YBR168W,0.831
YIL093C,RSM25,0.832
YDR083W,YDR083W,0.832
YDR126W,YDR126W,0.832
YPL029W,suv3,0.832
YLR052W,YLR052W,0.832
YDR388W,rvs167,0.833
YDR320C,SWA2,0.833
YGR171C,MSM1,0.833
YPR133W-A,TOM5,0.834
YFR001W,LOC1,0.834
YJR145C,RPS4A,0.834
YPL101W,YPL101W,0.835
YCR020W-B,HTL1,0.835
YOL095C,HMI1,0.836
YLR448W,RPL6B,0.836
YHR034C,YHR034C,0.836
YNL005C,MRP7,0.836
YMR219W,ESC1,0.837
YKL055C,OAR1,0.837
YDR519W,fkb2,0.838
YGL219C,YGL219C,0.838
YDL056W,MBP1,0.838
YOR201C,pet56,0.839
YHR026W,ppa1,0.839
YJL136C,RPS21B,0.839
YPL148C,PPT2,0.84
YNL069C,RPL16B,0.84
YDR378C,LSM6,0.84
YKR020W,YKR020W,0.84
YBL038W,MRPL16,0.84
YGR085C,RPL11B,0.84
YHR059W,YHR059W,0.841
YBL093C,ROX3,0.841
YJR055W,hit1,0.841
YHL031C,GOS1,0.841
YKL143W,LTV1,0.841
YPL183W-A,YPL183W-A,0.842
YCR028C,FEN2,0.842
YML073C,RPL6A,0.842
YOR008C,SLG1,0.842
YLR371W,ROM2,0.842
YER116C,YER116C,0.842
YBR026C,MRF1',0.842
YHR194W,YHR194W,0.843
YPL161C,BEM4,0.843
YHR067W,YHR067W,0.844
YPR047W,MSF1,0.844
YJR063W,RPA12,0.844
YEL046C,GLY1,0.844
YLR423C,APG17,0.844
YMR224C,MRE11,0.844
YFL036W,RPO41,0.845
YLR193C,YLR193C,0.845
YPL078C,ATP4,0.845
YJL096W,MRPL49,0.845
YPL188W,POS5,0.846
YJL046W,YJL046W,0.846
YMR064W,AEP1,0.846
YDR174W,HMO1,0.846
YDL202W,MRPL11,0.846
YGR165W,YGR165W,0.846
YEL054C,RPL12A,0.846
YNL297C,MON2,0.847
YKR057W,RPS21A,0.847
YER154W,oxa1,0.847
YJR118C,ILM1,0.847
YNL054W,VAC7,0.847
YFL001W,deg1,0.848
YGR167W,CLC1,0.848
YDR463W,STP1,0.848
YDL185W,TFP1,0.848
YMR091C,NPL6,0.848
YEL036C,anp1,0.849
YOR078W,BUD21,0.849
YLR240W,vps34,0.85
YJR032W,CPR7,0.851
YPL234C,TFP3,0.851
YNL079C,TPM1,0.851
YER014C-A,BUD25,0.851
YNL225C,CNM67,0.851
YOR141C,ARP8,0.852
YKR099W,bas1,0.852
YLR384C,IKI3,0.852
YDL082W,RPL13A,0.852
YLL027W,ISA1,0.852
YPL178W,CBC2,0.852
YMR143W,RPS16A,0.853
YOR096W,RPS7A,0.853
YMR158W,YMR158W,0.853
