Orf,Gene,Number
YKR019C,IRS4,81
YGL005C,COG7,74
YJL004C,SYS1,72
YGL012W,ERG4,69
YGR229C,SMI1,68
YGL148W,ARO2,68
YDR484W,SAC2,67
YAL024C,LTE1,67
YOL018C,TLG2,65
YBL006C,LDB7,64
YML071C,COG8,64
YJL154C,VPS35,64
YDL066W,IDP1,64
YHR129C,ARP1,63
YJL204C,RCY1,62
YPL055C,LGE1,62
YDR455C,YDR455C,61
YML007W,YAP1,61
YNL070W,TOM7,61
YLR417W,VPS36,61
YDR270W,CCC2,60
YLL040C,VPS13,60
YGL007W,YGL007W,60
YLR330W,CHS5,59
YER090W,TRP2,59
YPL065W,VPS28,59
YLR015W,BRE2,59
YBR020W,GAL1,59
YOR070C,GYP1,57
YNL283C,WSC2,57
YMR077C,VPS20,57
YPL051W,ARL3,57
YPR074C,TKL1,57
YJR073C,OPI3,57
YDR354W,TRP4,57
YJR139C,HOM6,57
YLR087C,CSF1,56
YMR121C,RPL15B,56
YLR085C,ARP6,56
YGR056W,RSC1,56
YNL201C,PSY2,56
YOR051C,YOR051C,55
YML117W,NAB6,55
YBR164C,ARL1,55
YPL002C,SNF8,55
YAL011W,SWC1,55
YIL153W,RRD1,55
YDL133W,YDL133W,55
YHL027W,RIM101,55
YIL154C,IMP2,55
YOL076W,MDM20,54
YBR098W,MMS4,54
YJR033C,RAV1,54
YCL008C,STP22,54
YDR120C,TRM1,54
YNL307C,MCK1,54
YMR264W,CUE1,54
YOR091W,YOR091W,54
YJR102C,VPS25,54
YLR025W,SNF7,54
YGR092W,DBF2,53
YJL095W,BCK1,53
YEL031W,SPF1,53
YHL009C,YAP3,53
YBL046W,YBL046W,52
YGR106C,YGR106C,52
YBR069C,TAT1,52
YGR184C,UBR1,52
YMR294W,JNM1,52
YDR075W,PPH3,51
YLR232W,YLR232W,51
YDR108W,GSG1,51
YHR030C,SLT2,51
YIL065C,FIS1,51
YKR072C,SIS2,51
YMR015C,ERG5,51
YOL087C,YOL087C,51
YER031C,YPT31,50
YDL074C,BRE1,50
YGR261C,APL6,50
YKL135C,APL2,50
YJR040W,GEF1,50
YHR207C,SET5,50
YML041C,VPS71,50
YKR073C,YKR073C,50
YNL323W,LEM3,50
YCR008W,SAT4,50
YJL169W,YJL169W,50
YGR037C,ACB1,50
YDR389W,SAC7,49
YPR119W,CLB2,49
YDR469W,SDC1,49
YDR007W,TRP1,49
YGL054C,ERV14,49
YGR228W,YGR228W,48
YBL022C,PIM1,48
YDL076C,RXT3,48
YMR214W,SCJ1,48
YIL077C,YIL077C,48
YOL089C,HAL9,48
YBR027C,YBR027C,48
YHR012W,VPS29,48
YMR031W-A,YMR031W-A,47
YJL165C,HAL5,47
YKR029C,SET3,47
YBL051C,PIN4,47
YAL026C,DRS2,47
YBR290W,BSD2,47
YHR179W,OYE2,47
YGR164W,YGR164W,47
YPL084W,BRO1,47
YIL035C,CKA1,47
YEL037C,RAD23,46
YJR083C,ACF4,46
YBR103W,SIF2,46
YDR310C,SUM1,46
YKL037W,YKL037W,46
YPL269W,KAR9,46
YGL013C,PDR1,46
YDR008C,YDR008C,46
YJL192C,SOP4,46
YGR057C,LST7,46
YML048W,GSF2,46
YJL024C,APS3,46
YER041W,YEN1,46
YJR054W,YJR054W,45
YPR061C,YPR061C,45
YKR006C,MRPL13,45
YBR231C,AOR1,45
YAR003W,SWD1,45
YCR094W,CDC50,45
YDL183C,YDL183C,45
YIL041W,GVP36,45
YHR025W,THR1,45
YOR158W,PET123,45
YDR127W,ARO1,45
YER145C,FTR1,45
YML013W,SEL1,45
YDL190C,UFD2,45
YDL059C,RAD59,44
YDR057W,YOS9,44
YNL032W,SIW14,44
YNL322C,KRE1,44
YOR275C,RIM20,44
YNL041C,COG6,44
YHR104W,GRE3,44
YER086W,ILV1,44
YDR203W,YDR203W,44
YDR202C,RAV2,44
YBL083C,YBL083C,44
YPL184C,YPL184C,44
YLR204W,QRI5,44
YMR161W,HLJ1,44
YKL033W-A,YKL033W-A,43
YML001W,YPT7,43
YOR132W,VPS17,43
YMR183C,SSO2,43
YJL155C,FBP26,43
YJL053W,PEP8,43
YOR030W,DFG16,43
YKL076C,PSY1,43
YGL071W,RCS1,43
YPR197C,YPR197C,43
YCL010C,SGF29,43
YOR068C,VAM10,43
YCR086W,CSM1,43
YDR372C,VPS74,42
YDR334W,YDR334W,42
YNL056W,YNL056W,42
YPR032W,SRO7,42
YOR002W,ALG6,42
YDR253C,MET32,42
YDR290W,SWS1,42
YAL002W,VPS8,42
YKL002W,DID4,42
YAL040C,CLN3,42
YMR152W,YIM1,42
YEL053C,MAK10,42
YLR180W,SAM1,42
YPL259C,APM1,42
YDR386W,MUS81,42
YBR036C,CSG2,42
YKL121W,YKL121W,42
YPR050C,YPR050C,42
YOR043W,WHI2,42
YHL044W,YHL044W,41
YMR063W,RIM9,41
YBR208C,"DUR1,2",41
YOL050C,YOL050C,41
YBL047C,EDE1,41
YLR055C,SPT8,41
YBL031W,SHE1,41
YDL021W,GPM2,41
YDR289C,RTT103,41
YDR439W,LRS4,41
YBR215W,HPC2,41
YGL212W,VAM7,41
YPR173C,VPS4,41
YGL026C,TRP5,41
YER084W,YER084W,40
YDR485C,VPS72,40
YMR048W,CSM3,40
YML028W,TSA1,40
YOR360C,PDE2,40
YGR289C,MAL11,40
YLR181C,VTA1,40
YDL048C,STP4,40
YMR067C,YMR067C,40
YJL073W,JEM1,40
YGL035C,MIG1,40
YDL001W,RMD1,40
YOR089C,VPS21,40
YPL152W,RRD2,40
YDL077C,VAM6,40
YMR039C,SUB1,40
YKR093W,PTR2,40
YJL047C,RTT101,39
YPR023C,EAF3,39
YDL146W,YDL146W,39
YKL213C,DOA1,39
YNL022C,YNL022C,39
YIL002C,INP51,39
YGR122W,YGR122W,39
YBL024W,NCL1,39
YNL314W,DAL82,39
YOR038C,HIR2,39
YDR049W,YDR049W,39
YDR414C,ERD1,39
YDR014W,RAD61,39
YJL159W,HSP150,39
YNL197C,WHI3,39
YDL226C,GCS1,39
YIL029C,YIL029C,39
YNR001C,CIT1,39
YER167W,BCK2,39
YDL173W,YDL173W,39
YDR271C,YDR271C,38
YDL225W,SHS1,38
YOR064C,YNG1,38
YLR032W,RAD5,38
YDR072C,IPT1,38
YMR016C,SOK2,38
YDL100C,ARR4,38
YGL045W,RIM8,38
YOR323C,PRO2,38
YER072W,VTC1,38
YOL049W,GSH2,38
YOR045W,TOM6,38
YKL075C,YKL075C,38
YFL025C,BST1,38
YNR049C,MSO1,38
YCR098C,GIT1,38
YPR083W,MDM36,38
YDR435C,PPM1,38
YDR395W,SXM1,38
YHL023C,RMD11,38
YDR144C,MKC7,38
YBR291C,CTP1,38
YMR154C,RIM13,38
YKL077W,YKL077W,38
YNL294C,RIM21,38
YDR537C,YDR537C,38
YOR008C-A,YOR008C-A,37
YMR274C,RCE1,37
YJR049C,UTR1,37
YLR171W,YLR171W,37
YLR027C,AAT2,37
YOL054W,PSH1,37
YIR033W,MGA2,37
YJL185C,YJL185C,37
YLR170C,APS1,37
YOR023C,AHC1,37
YNR040W,YNR040W,37
YPL138C,SPP1,37
YBR244W,GPX2,37
YNL099C,OCA1,37
YLL032C,YLL032C,37
YLR176C,RFX1,37
YCR095C,YCR095C,37
YJL036W,SNX4,37
YJR111C,YJR111C,37
YCR079W,YCR079W,37
YGL151W,NUT1,37
YIL044C,AGE2,37
YGR270W,YTA7,37
YJL193W,YJL193W,37
YBR059C,AKL1,36
YJL201W,ECM25,36
YDR456W,NHX1,36
YDL052C,SLC1,36
YBR095C,RXT2,36
YDL073W,YDL073W,36
YGL046W,YGL046W,36
YML103C,NUP188,36
YBR298C,MAL31,36
YBR099C,YBR099C,36
YOR069W,VPS5,36
YJL164C,TPK1,36
YEL062W,NPR2,36
YDL023C,YDL023C,36
YKL136W,YKL136W,36
YLR420W,URA4,36
YJL117W,PHO86,36
YPL182C,YPL182C,36
YOR216C,RUD3,36
YKL041W,VPS24,35
YKL115C,YKL115C,35
YIL105C,YIL105C,35
YPL195W,APL5,35
YML095C,RAD10,35
YLR119W,SRN2,35
YER119C-A,YER119C-A,35
YMR263W,SAP30,35
YER059W,PCL6,35
