gene,quan,ess,interact,rec,avg_cv,avg_intra_cv
YAL068C,0.07,OTHER,,1.3,0.265384746354685,0.236167620661482
YAL067W-A,0.02,OTHER,,,0.090354080934733,0.235855277275754
YAL067C,16.83,OTHER,,0.86,0.120410262587963,0.304060923821174
YAL066W,0.72,OTHER,,0.98,0.0716809611525285,0.252622055926922
YAL065C,0.75,OTHER,,0.975,0.148028243977994,0.148913470211732
YAL064W-B,3.52,OTHER,,,0.0681450156243832,0.10207087277157
YAL064C-A,0.1,OTHER,,,0.0666178644028293,0.197260728403887
YAL064W,2.62,OTHER,,0.96,0.100896901843304,0.316027458692803
YAL063C-A,5.4,OTHER,,,0.16021592700274,0.282290072721214
YAL063C,3.58,OTHER,5,1.09,0.142772583192842,0.203466697544733
YAL062W,30.2,CHEM,,1.79,0.123720304286076,0.229587353860386
YAL061W,20,OTHER,,2.29,0.125096054951087,0.22481557606511
YAL060W,64.3,OTHER,18,1.43,0.133925765994747,0.179457800586755
YAL059C-A,0.42,OTHER,,,0.101823403886771,0.160495434748362
YAL059W,69.38,OTHER,13,1.37,0.159670722197673,0.22553713934716
YAL058W,25.68,RICH,26,1.09,0.141120987358415,0.252033876395877
YAL056C-A,0.25,OTHER,,,0.176678613188734,0.374775620842733
YAL056W,49.63,OTHER,30,1.25,0.121347116761116,0.233007024231161
YAL055W,54.42,OTHER,,1.31,0.252946348052602,0.28266073366566
YAL054C,38.38,OTHER,,1.41,0.116268852460165,0.261087834815415
YAL053W,111.8,OTHER,,1.28,0.171675429849077,0.22055277799428
YAL051W,33.12,OTHER,,1.005,0.13725387742063,0.257025748689255
YAL049C,67.7,OTHER,,1.1,0.125018709303271,0.281552431424881
YAL048C,17.35,OTHER,,0.94,0.128619154381664,0.243299681879195
YAL047W-A,3.07,OTHER,,,0.200703302401163,0.345490671440481
YAL047C,22.25,RICH,,1.11,0.167202153395266,0.275304144647499
YAL046C,51.48,CHEM,,1.49,0.198550498392361,0.137852830245523
YAL045C,1.27,OTHER,,1.35,0.163904702907088,0.224381259444695
YAL044W-A,70.37,OTHER,,,0.164156779902207,0.211392564867107
YAL044C,390.5,CHEM,,1.89,0.164330632919213,0.240678322512776
YAL043C,44.57,ESS,,1.52,0.0749782745441868,0.204983511777875
YAL042C-A,0.1,OTHER,,,0.159836486980072,0.184168691110256
YAL042W,163.1,OTHER,16,1.67,0.14411790523375,0.236693703307177
YAL041W,62.38,ESS,,1.04,0.0991291678227922,0.193993387038543
YAL040C,98.88,OTHER,,1.44,0.152814070476319,0.248495472924419
YAL039C,105.57,RICH,,1.88,0.130466108174575,0.193634556069626
YAL038W,4645,ESS,,3.02,0.160319797781046,0.180642284599894
YAL037C-B,0.13,OTHER,,,0.14299672371796,0.187189996153004
YAL037W,10.98,OTHER,,1.59,0.113281400253213,0.262509001871339
YAL036C,201.82,OTHER,,1.85,0.131524540213736,0.205790446426939
YAL035W,291.93,CHEM,,1.08,0.133986535848,0.239361031403429
YAL034C-B,0.22,OTHER,,,0.15176331019249,0.339840551370311
YAL034W-A,23.23,ESS,,1.14,0.113282695695251,0.228087530891896
YAL034C,24.57,OTHER,,1.09,0.170141992406327,0.31182131145931
YAL033W,34.55,ESS,,1.49,0.213070125103694,0.283389703817327
YAL032C,28.67,ESS,,1.22,0.118814697738823,0.170306365642512
YAL031W-A,0.45,OTHER,,,0.216749677264726,0.29733740083924
YAL031C,30.23,OTHER,,0.94,0.155897442826676,0.233387649997625
YAL030W,101.62,OTHER,5,1.01,0.171378487864756,0.208642162081155
YAL029C,76.53,OTHER,,0.94,0.128867198980336,0.222589409170441
YAL028W,29.97,OTHER,,1.29,0.0967430649974928,0.247726261902752
YAL027W,27.13,OTHER,,0.89,0.17506052155319,0.295501077399552
YAL026C-A,4.25,OTHER,,,0.250786224495297,0.228465169835048
YAL026C,102.03,RICH,,0.92,0.143205297654752,0.237130214964461
YAL025C,148.35,ESS,,1.08,0.130824593624788,0.164524864659247
YAL024C,24.85,OTHER,,0.96,0.120892508615665,0.247296689606417
YAL023C,185.85,RICH,,1.11,0.119080999919607,0.167590824260499
YAL022C,36.25,CHEM,,1.52,0.141520339559884,0.236456551530238
YAL021C,47.2,RICH,19,1.37,0.113687775255523,0.217867839180965
YAL020C,22.77,RICH,61,1.68,0.123351683952442,0.208232934480036
YAL019W-A,0.17,OTHER,,,0.129840631732418,0.300680495132968
YAL019W,56.27,OTHER,,1.02,0.118389130297486,0.221277511070318
YAL018C,1.78,OTHER,,0.92,0.169965426685575,0.205534443943534
YAL017W,40.42,OTHER,,0.92,0.131332931126927,0.299593722058362
