taxon_id,chr,length,name,assembly
9606,chr1,247249719,Human,hg18/ensembl54
9606,chr1_random,1663265,Human,hg18/ensembl54
9606,chr2,242951149,Human,hg18/ensembl54
9606,chr2_random,185571,Human,hg18/ensembl54
9606,chr3,199501827,Human,hg18/ensembl54
9606,chr3_random,749256,Human,hg18/ensembl54
9606,chr4,191273063,Human,hg18/ensembl54
9606,chr4_random,842648,Human,hg18/ensembl54
9606,chr5,180857866,Human,hg18/ensembl54
9606,chr5_h2_hap1,1794870,Human,hg18/ensembl54
9606,chr5_random,143687,Human,hg18/ensembl54
9606,chr6,170899992,Human,hg18/ensembl54
9606,chr6_cox_hap1,4731698,Human,hg18/ensembl54
9606,chr6_qbl_hap2,4565931,Human,hg18/ensembl54
9606,chr6_random,1875562,Human,hg18/ensembl54
9606,chr7,158821424,Human,hg18/ensembl54
9606,chr7_random,549659,Human,hg18/ensembl54
9606,chr8,146274826,Human,hg18/ensembl54
9606,chr8_random,943810,Human,hg18/ensembl54
9606,chr9,140273252,Human,hg18/ensembl54
9606,chr9_random,1146434,Human,hg18/ensembl54
9606,chr10,135374737,Human,hg18/ensembl54
9606,chr10_random,113275,Human,hg18/ensembl54
9606,chr11,134452384,Human,hg18/ensembl54
9606,chr11_random,215294,Human,hg18/ensembl54
9606,chr12,132349534,Human,hg18/ensembl54
9606,chr13,114142980,Human,hg18/ensembl54
9606,chr13_random,186858,Human,hg18/ensembl54
9606,chr14,106368585,Human,hg18/ensembl54
9606,chr15,100338915,Human,hg18/ensembl54
9606,chr15_random,784346,Human,hg18/ensembl54
9606,chr16,88827254,Human,hg18/ensembl54
9606,chr16_random,105485,Human,hg18/ensembl54
9606,chr17,78774742,Human,hg18/ensembl54
9606,chr17_random,2617613,Human,hg18/ensembl54
9606,chr18,76117153,Human,hg18/ensembl54
9606,chr18_random,4262,Human,hg18/ensembl54
9606,chr19,63811651,Human,hg18/ensembl54
9606,chr19_random,301858,Human,hg18/ensembl54
